,,,FTA,FTA,FTA,FTA,FTA,FTA,FGM,FGM,FGM,FGM,FGM,FGM,TREY_M,TREY_M,TREY_M,TREY_M,TREY_M,TREY_M,MIN,MIN,MIN,MIN,MIN,MIN,FTM,FTM,FTM,FTM,FTM,FTM,PTS,PTS,PTS,PTS,PTS,PTS,FGA,FGA,FGA,FGA,FGA,FGA,TREY_A,TREY_A,TREY_A,TREY_A,TREY_A,TREY_A
,,,mean,amin,amax,std,sum,count_nonzero,mean,amin,amax,std,sum,count_nonzero,mean,amin,amax,std,sum,count_nonzero,mean,amin,amax,std,sum,count_nonzero,mean,amin,amax,std,sum,count_nonzero,mean,amin,amax,std,sum,count_nonzero,mean,amin,amax,std,sum,count_nonzero,mean,amin,amax,std,sum,count_nonzero
team_id,team_name_x,player,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,Arizona,A. Trier,5.57692307692,0,14,3.21463001819,145,25,4.53846153846,1,10,2.1209576937,118,26,1.46153846154,0,4,1.06698713135,38,22,28.0769230769,12,53,8.08417257076,730,26,4.42307692308,0,14,3.16446617202,115,25,14.9615384615,5,27,6.20632431786,389,26,9.61538461538,4,19,3.44182420326,250,26,4.0,0,10,2.29782505862,104,24
12,Arizona,C. Comanche,0.727272727273,0,4,1.31590338992,16,6,0.727272727273,0,3,1.03195691041,16,9,0.0,0,0,0.0,0,0,6.04545454545,1,15,4.02938341883,133,22,0.5,0,3,0.963624111659,11,6,1.95454545455,0,6,2.01133153544,43,14,1.45454545455,0,5,1.50324324703,32,15,0.0,0,0,0.0,0,0
12,Arizona,D. Ristic,2.48484848485,0,8,2.36010079394,82,22,2.81818181818,0,6,1.66685604985,93,31,0.0909090909091,0,1,0.291937104061,3,3,16.7272727273,9,27,4.60483935165,552,33,1.57575757576,0,7,1.69614089609,52,21,7.30303030303,0,20,4.53792937696,241,31,5.15151515152,1,11,2.64718260752,170,33,0.242424242424,0,1,0.435194139889,8,8
12,Arizona,E. Pitts,0.285714285714,0,2,0.755928946018,2,1,1.0,0,2,0.57735026919,7,6,0.285714285714,0,1,0.487950036474,2,2,21.2857142857,11,29,7.11135912266,149,7,0.0,0,0,0.0,0,0,2.28571428571,0,4,1.25356634106,16,6,3.71428571429,1,6,1.79947082168,26,7,2.28571428571,1,4,0.951189731211,16,7
12,Arizona,G. York,2.30303030303,0,10,2.77809341641,76,19,5.27272727273,2,9,1.73696443675,174,33,2.90909090909,0,9,1.84329250873,96,32,33.303030303,21,55,5.92919075678,1099,33,1.72727272727,0,8,2.23987621411,57,16,15.1818181818,6,32,5.59271035285,501,33,12.4242424242,5,21,3.68298709465,410,33,6.84848484848,2,16,3.15358141762,226,33
12,Arizona,J. Hazzard,0.285714285714,0,2,0.755928946018,2,1,0.857142857143,0,3,1.06904496765,6,4,0.571428571429,0,3,1.13389341903,4,2,3.71428571429,2,7,1.60356745147,26,7,0.285714285714,0,2,0.755928946018,2,1,2.57142857143,0,9,3.0472470011,18,5,1.42857142857,0,4,1.39727626201,10,5,0.857142857143,0,4,1.46385010942,6,3
12,Arizona,J. Simon,0.875,0,4,1.36134524261,21,8,0.958333333333,0,4,1.39810948961,23,11,0.0416666666667,0,1,0.204124145232,1,1,7.5,1,18,4.97821340399,180,24,0.375,0,2,0.710939366338,9,6,2.33333333333,0,10,3.239252016,56,12,1.91666666667,0,5,1.83958092266,46,17,0.125,0,2,0.448427203146,3,2
12,Arizona,K. Allen,2.78787878788,0,10,2.73584511346,92,23,2.90909090909,0,6,1.73859922717,96,28,0.515151515152,0,2,0.712443511849,17,13,24.7575757576,7,47,7.57887814517,817,33,1.9696969697,0,9,2.09888137595,65,22,8.30303030303,0,15,4.38381147294,274,30,6.30303030303,1,11,2.7555041336,208,33,1.48484848485,0,4,1.17582981659,49,26
